APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;LARANJALSP;SP;Laranjal;Laranjal;716
AGUA CLARAMS;MS;Agua Clara;LARANJALSP;SP;Laranjal;Laranjal;853
AMAMBAIPK183MS;MS;Amambai;LARANJALSP;SP;Laranjal;Laranjal;1.228
ANHEMBISP;SP;Anhembi;LARANJALSP;SP;Laranjal;Laranjal;76
ARACATUBASP;SP;Aracatuba;LARANJALSP;SP;Laranjal;Laranjal;497
ARAGUARIMG;MG;Araguari;LARANJALSP;SP;Laranjal;Laranjal;1.281
BARCARENAPA;PA;Barcarena;LARANJALSP;SP;Laranjal;Laranjal;0
BARRA BONITASP;SP;Barra Bonita;LARANJALSP;SP;Laranjal;Laranjal;148
BOISPK175GO;GO;Inaciolandia;LARANJALSP;SP;Laranjal;Laranjal;1.161
BORBOREMASP;SP;Borborema;LARANJALSP;SP;Laranjal;Laranjal;322
BURITAMASP;SP;Buritama;LARANJALSP;SP;Laranjal;Laranjal;453
CASTELANDIAGO;GO;Castelandia;LARANJALSP;SP;Laranjal;Laranjal;1.060
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;LARANJALSP;SP;Laranjal;Laranjal;995
GUAIRAPR;PR;Guaira;LARANJALSP;SP;Laranjal;Laranjal;1.136
IBITINGASP;SP;Ibitinga;LARANJALSP;SP;Laranjal;Laranjal;272
